AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount,ModScore,GearScore,TotalScore
138974936,"Quigman","Quigman11#9091",252298570819043328,3166405,2429823,232,11,26,51,108,0,2,4,15,6,18,1,5,0,0,155,86,31,6,0,0,0.82,3.04,3.86
141299866,"Robbo","career-ender#2172",576858822589808660,2960843,2079529,181,15,13,39,105,2,0,0,15,3,10,4,5,2,0,199,217,76,26,3,0,2.29,2.54,4.83
141746547,"WiseBeyond","WiseBeyond#9518",227758880606650369,3894085,2304473,225,26,22,64,141,2,3,2,10,8,14,6,9,4,0,215,154,54,10,1,2,1.18,3.3,4.48
182746569,"Fishfly","Fishfly#1822",442053587883786240,4008382,2940238,243,20,22,69,152,3,4,2,7,8,25,1,18,4,0,199,358,122,20,3,0,2.58,3.32,5.9
189341839,"Veers","RooseyBolton#2684",267678182772047873,3605432,2668097,204,10,13,90,123,3,2,3,21,5,28,8,19,4,0,202,302,123,33,3,3,2.96,4.5,7.47
228223221,"KID A","kidu4a#3485",303632078468284427,3777842,2659039,216,25,32,75,130,0,3,0,15,4,29,4,15,5,0,166,224,79,21,0,3,1.78,4.02,5.8
283611597,"Lapskaus","lapskaus#5065",407122104690147330,3709580,2482156,220,15,25,70,109,1,0,1,18,3,28,2,14,4,0,165,219,71,18,3,2,1.68,3.81,5.49
323388919,"GetSchmidtOn","Schmidt HuanYu#9331",574055485196468225,3292095,2471308,237,9,17,60,102,0,4,0,18,0,28,1,9,0,0,161,194,59,8,2,1,1.52,3.3,4.82
336539734,"Ghebbs","ghebbs#7665",358060154589020162,4158572,2905459,242,20,39,80,116,1,3,5,15,0,33,7,13,4,0,178,452,148,70,20,2,3.47,3.93,7.4
347474759,"Mini Belargos","Belargos#2515",433682721697693706,3933020,3050842,236,20,24,79,136,3,0,0,6,14,25,14,15,5,0,228,369,129,41,6,2,2.92,3.85,6.77
365927268,"Darthjohn","darthjohn#4601",417826225332027403,4062868,2883080,245,7,60,65,118,2,2,2,7,5,34,2,10,3,0,92,174,38,7,0,1,0.78,3.67,4.46
366384152,"CCSM Ricks","Ricky#9880",492150854183419924,3532224,2503653,210,17,33,55,111,2,4,2,8,7,13,2,13,3,0,186,351,118,45,5,2,3.01,3.21,6.23
369555639,"Humpr Glump","HumprGlump#3554",373135550728896512,4905563,3202012,262,17,50,125,164,5,1,10,23,6,33,13,26,10,2,134,339,104,28,6,0,1.88,5.31,7.19
375869453,"TK2618","TK-2618#0711",401612085399781388,3606904,2762793,228,22,36,60,124,0,1,1,11,3,25,7,10,2,0,215,264,67,14,0,2,1.56,3.4,4.96
425544887,"Mhan'und Kota","Treemonkey-Kota#2470",447131206350405643,3488623,2468259,228,10,23,54,105,2,2,5,14,2,9,3,15,4,0,162,209,68,19,2,1,1.7,3.09,4.79
449627572,"Aleks","Awallon#7967",390174944694239246,3768109,2575765,223,40,31,55,140,1,0,1,11,0,19,5,9,2,0,167,170,54,17,2,1,1.27,2.98,4.25
528132337,"Ralnakor","Ralnakor#0848",316725726961336320,3877158,2659297,235,25,48,54,109,1,2,3,6,13,18,2,9,1,0,139,271,59,12,2,1,1.31,3.16,4.47
537549179,"GeneralKenobi","GeneralKenobi#0056",447084480075661312,3150191,2084949,182,14,18,63,117,1,8,3,15,0,17,3,12,3,0,175,287,109,38,8,2,3.16,3.79,6.96
548455812,"Tr1stram","Tr1stram the Last Targaryen#2338",353315483367505925,4129330,2763163,224,15,27,88,160,3,2,1,14,7,27,4,27,6,0,247,380,131,43,3,4,2.79,4.33,7.12
563984912,"mannabirds","chlabowner2#0933",432976148612513792,4153361,2796197,241,26,41,72,142,0,0,0,8,10,29,5,20,0,0,112,279,85,15,1,0,1.72,3.75,5.48
581861662,"The Asset","The Asset#8823",418971126962716683,4295703,2943738,239,14,42,90,142,1,1,7,14,12,27,3,19,6,0,257,302,80,21,1,2,1.6,4.3,5.9
587196387,"Shorinjin","Shorinjin#2262",330027060812578817,3881908,2925464,253,11,34,70,125,3,19,5,7,6,15,2,11,2,0,167,343,120,20,0,1,2.58,3.31,5.88
594819111,"Ladrano","Ladrano#8241",748310228545568769,2594900,1875641,158,16,12,40,81,3,0,0,8,4,10,5,6,2,0,182,212,76,23,4,0,2.61,2.86,5.48
595451192,"Paasan313","Paasan313#0393",421683587373596702,3007500,2363437,251,10,18,47,84,0,0,0,8,1,24,1,11,2,0,169,386,157,49,12,2,4.74,3.01,7.75
599257459,"MINI yosifkit","yosifkit#1862",97195512494555136,4094197,2998190,246,11,33,71,146,2,0,0,11,8,31,5,11,5,0,226,421,135,36,9,2,2.95,3.52,6.46
599615996,"Lance","Lance#5471",816047099568324649,3654691,2723877,227,18,26,65,139,2,0,1,13,3,25,0,18,5,0,184,310,101,36,6,2,2.51,3.54,6.05
617876691,"Sipress","Sipress [ TOP COPP]#2138",332939564027084811,3999922,2856058,237,21,26,78,137,2,3,2,21,5,22,5,17,3,0,189,393,135,49,14,3,3.16,3.75,6.91
645496195,"0The force is with you0","the force is with you#8290",447088019409731586,3076096,2316685,197,15,22,63,88,0,2,2,21,6,11,3,15,2,0,137,167,53,16,4,2,1.56,3.82,5.38
649329236,"Steveo","steveo7803#6367",353520570878394379,3506657,2118539,201,21,29,62,112,1,0,0,4,1,33,13,5,2,0,256,175,44,11,1,0,1.08,3.83,4.91
658545697,"El paso","el paso#2375",568918045079371797,4145259,2937822,232,15,39,81,141,0,3,4,14,7,37,1,10,2,0,123,220,72,26,2,1,1.54,3.85,5.4
697666146,"Will Treaty","Will treaty#6784",309183252860502017,4004109,2743054,230,7,39,75,142,1,3,1,16,11,25,1,13,3,0,218,386,123,26,5,3,2.66,3.83,6.49
717658145,"Greatfuljed I","Greatfuljedi(Direwolves)Comms#7737",401810636881002500,3931267,2939673,228,15,36,96,137,2,6,6,18,6,24,6,17,5,0,171,489,146,30,2,2,3.15,4.53,7.68
722948949,"D Fens","D-Fens#7798",394190300136079360,3982807,2912817,233,19,23,73,130,2,1,5,15,3,26,6,15,2,0,227,323,93,19,5,1,2.04,3.49,5.53
746292114,"Glowganja","glowganja#1514",431250169850494987,3788116,2421851,247,4,44,60,121,0,5,1,13,8,19,4,7,3,0,99,117,33,5,0,1,0.72,3.52,4.24
783828985,"Zytro","Zytro#4284",281144025292210176,4269722,2867236,235,32,40,75,149,2,1,2,16,5,27,7,16,1,0,152,467,169,53,10,2,3.56,3.7,7.26
844171967,"ryzingTitan","ryzingTitan#5254",353369222639910914,4158258,2918911,238,10,51,70,154,2,1,1,13,8,26,5,12,0,0,157,197,49,5,0,0,0.97,3.6,4.56
854737959,"Amothos","Amothos#5223",485319866866335754,4116994,2817943,251,30,39,65,131,0,0,2,10,12,20,8,12,1,0,191,293,104,24,2,1,2.17,3.37,5.54
893219819,"MDevGuy","MDevGuy#1833",259484231770701824,3369595,2195867,220,4,24,63,106,0,0,3,20,0,25,2,11,2,0,149,295,106,35,6,2,2.83,3.77,6.6
912225591,"MasterJ","MasterJ#4624",426636924397158421,3866946,2654683,233,25,27,65,151,3,2,0,15,2,24,4,11,2,0,204,218,75,19,7,2,1.76,3.31,5.07
947951149,"CaptainK","CaptainK#2589",721007876046585886,3623913,2773256,211,12,42,65,135,2,0,4,13,22,17,3,6,0,0,225,280,80,20,1,1,1.89,3.56,5.46
954383636,"BigRed","Big Red#1775",471375736901599242,3797895,2829575,241,9,27,87,126,1,20,0,12,2,28,3,19,3,0,181,335,105,21,1,2,2.34,4.19,6.52
969551535,"LeGioNoFZioN","null",0,4455810,3012689,250,40,48,86,141,1,0,2,2,18,36,9,13,6,0,199,277,88,15,2,2,1.67,4.18,5.85
971381917,"Lepocalypse","Lepocalypse#6637",390124329964404746,3711550,2695277,249,24,47,55,114,0,0,0,7,8,21,7,10,2,0,133,232,54,6,1,2,1.21,3.35,4.56
996517736,"JangoBear","Cauios#3408",158673302431203328,4777687,3202340,260,16,28,110,175,2,1,6,21,2,40,4,25,11,0,226,746,227,82,32,5,4.55,4.57,9.11
825628193,"FrankWhite","Warmanez#6713",318925755973238806,3925387,2758799,252,21,25,68,97,0,2,1,3,3,29,5,14,10,0,75,130,20,1,0,1,0.41,3.57,3.98
984252223,"MINI CT 42069","karstenchu#5396",342330502318915584,5102746,3411227,260,12,5,167,103,10,0,0,21,6,47,14,42,32,5,658,610,271,72,11,6,4.66,6.43,11.09
521812115,"Tmacc85","Tmacc85#5033",621759338104487947,3430716,2223720,193,8,7,85,76,3,1,0,21,2,31,2,18,10,0,157,216,73,17,1,3,1.82,4.74,6.56
925496831,"MINI Nicolas Marcheciel","winnynico#0674",538901830420135976,3282734,2441959,207,6,19,73,72,2,0,0,10,0,45,0,7,9,2,103,157,44,16,3,1,1.22,4.3,5.53
133824362,"Good Swimma","goodswimma#9598",728449551224143933,3114043,2548429,207,9,33,46,104,2,0,9,8,4,15,2,8,0,0,124,215,66,12,4,1,1.85,2.92,4.77
847851959,"chello26tt","chello26tt#1294",453926637420150817,3681229,2735237,219,15,42,54,104,2,0,3,10,5,17,4,10,4,0,105,162,46,10,1,1,1.07,3.18,4.25
