name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Zytro,783828985,2866691,4257380,19462924,6,15,0,9156902,7127402,3,2,true,true,0,32292,false,false,0,0,0,,,3,3,
Aleks,449627572,2573936,3728633,20440788,18,23,1,10527319,6302569,5,1,true,true,351651,38248,true,true,0,0,0,4,4,3,0,1
BigRed,954383636,2822881,3774049,21940277,3,25,0,11897547,6606547,5,1,true,true,45142,0,true,true,0,0,0,4,4,2,4,1
Good Swimma,133824362,2536991,3099513,13536908,7,5,0,6536504,5636504,1,1,true,true,0,94977,false,true,0,0,0,,,,,1
Shorinjin,587196387,2921950,3873773,18391583,5,13,0,9076960,6799960,3,0,true,true,0,23547,false,true,0,0,0,,,4,,1
LeGioNoFZioN,969551535,3012689,4432213,17596428,2,21,0,11397067,7447317,4,3,true,true,0,30211,true,false,0,0,0,1,4,3,4,
Will Treaty,697666146,2736529,3984473,19809252,0,18,0,10251389,6731389,5,0,true,true,0,0,true,true,0,0,0,1,3,4,0,1
Robbo,141299866,2044124,2915105,16006971,1,16,0,8216850,4963350,5,0,true,true,0,21145,true,true,0,0,0,1,2,4,0,1
GetSchmidtOn,323388919,2468542,3287424,14924194,5,12,0,7438588,5758588,2,1,true,true,0,112526,false,false,0,0,0,3,3,,,
Lapskaus,283611597,2482156,3693653,19522367,20,20,0,9609840,6177840,4,1,true,true,539671,174797,false,true,0,0,0,4,,4,,1
Amothos,854737959,2815972,4105361,19593682,7,18,0,9313449,6921699,2,1,true,true,0,92090,false,false,0,0,0,,,3,4,
MINI yosifkit,599257459,2983431,4083243,22408844,15,25,0,9826553,7072553,2,1,true,true,0,165386,false,false,0,0,0,,,4,4,
Darthjohn,365927268,2879270,4043471,16697547,5,13,0,7570530,5082280,4,0,true,false,45142,34717,false,true,1840461,0,0,2,,3,,1
Mini Belargos,347474759,3049611,3930088,23900033,4,29,0,12583965,6982215,5,0,true,true,46918,48006,true,true,0,0,0,4,4,3,4,1
KID A,228223221,2654188,3757361,13152077,0,17,0,4891249,2836249,2,0,true,false,0,0,false,true,3575300,0,0,4,,,,1
Ralnakor,528132337,2654707,3858629,16977145,29,13,0,8734131,6517131,2,0,true,true,312843,178958,false,false,0,0,0,3,,4,,
FrankWhite,825628193,2757746,3898664,15585068,3,6,0,7544772,6676772,2,0,true,true,0,11394,false,false,0,0,0,,,1,1,
