Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 403000_573500_840000_1155000 [1],P2 Ground 403000_573500_840000_1155000 [2],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Fleet 900000 [1],P3 Ground 434000_704000_1014750_1377000 [1],P3 Ground 434000_704000_1014750_1377000 [2],P3 Ground 564200_915200_1319175_1790100 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Fleet 1800000 [1],P4 Ground 464000_775500_1105000_1627500 [1],P4 Ground 464000_775500_1105000_1627500 [2],P4 Ground 464000_775500_1105000_1627500 [3],P4 Ground 603200_1008150_1436500_2115750 [1],P4 Fleet 2750000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Zytro,783828985,39744143,10306022,9156902,10080261,10200958,5,3,3,3,29,9,6,7,7,4,0,0,4,1,0,0,3,3,0,0,0,3,4,0,4,0,0,3,0,6,5,1,0,0,0,0,0,0,0
Aleks,449627572,41162228,9913469,10527319,11662944,9058496,5,5,5,3,40,11,12,10,7,3,4,0,3,1,4,4,3,0,1,3,0,2,4,1,3,4,0,0,0,29,10,8,8,3,1,1,0,0,0
BigRed,954383636,48644605,10042730,11897547,14591194,12113134,5,5,5,4,55,10,15,17,13,1,3,4,1,1,4,4,2,4,1,4,4,4,4,1,4,4,4,1,0,4,2,1,0,1,0,0,0,0,0
Good Swimma,133824362,26198134,7000404,6536504,7015436,5645790,3,1,3,1,9,4,1,4,0, ?, ?, ?, ?, ?,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,10,4,3,3,0,0,0,0,0,0
Shorinjin,587196387,35417672,9314623,9076960,10220010,6806079,5,3,4,2,18,8,5,5,0, ?, ?, ?, ?, ?,0,0,4,0,1,2,0,2,0,1,0,0,0,0,0,35,5,0,10,20,0,0,0,0,0
LeGioNoFZioN,969551535,42442772,6199361,11397067,12018987,12827357,3,4,4,4,41,9,12,8,12, ?, ?, ?, ?, ?,1,4,3,4,0,1,3,3,0,1,4,4,0,4,0,3,2,0,1,0,0,0,0,0,0
Will Treaty,697666146,39820134,9557863,10251389,10864302,9146580,5,5,3,2,31,9,9,7,6, ?, ?, ?, ?, ?,1,3,4,0,1,2,0,0,4,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbo,141299866,37592002,7790121,8216850,12109884,9475147,5,5,5,4,42,8,8,15,11,1,4,0,2,1,1,2,4,0,1,3,4,3,4,1,3,3,4,1,0,11,0,1,10,0,0,0,0,0,0
GetSchmidtOn,323388919,21460601,7485606,7438588,6536407,0,2,2,1,0,14,6,6,2,0,2,4,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0
Lapskaus,283611597,40099580,9912527,9609840,12303328,8273885,5,4,5,2,37,11,9,12,5,3,3,0,4,1,4,0,4,0,1,4,0,3,4,1,1,4,0,0,0,22,0,20,0,2,0,0,0,0,0
Amothos,854737959,41641703,10280233,9313449,11278861,10769160,4,2,4,3,38,11,7,11,9, ?, ?, ?, ?, ?,0,0,3,4,0,2,2,3,4,0,2,4,0,3,0,12,1,6,2,3,0,0,0,0,0
MINI yosifkit,599257459,47459308,12582291,9826553,13110790,11939674,5,2,5,3,48,17,8,12,11,4,4,4,4,1,0,0,4,4,0,1,4,3,3,1,3,4,0,4,0,37,15,0,2,20,0,0,0,0,0
Darthjohn,365927268,32404098,9127017,7570530,8767948,6938603,4,4,3,1,18,7,6,5,0, ?, ?, ?, ?, ?,2,0,3,0,1,4,0,0,1,0,0,0,0,0,0,8,3,2,2,1,0,0,0,0,0
Mini Belargos,347474759,54396066,11316068,12583965,14287058,16208975,5,5,5,5,61,13,16,16,16,4,4,0,4,1,4,4,3,4,1,4,4,4,3,1,3,4,4,4,1,14,2,2,9,1,3,0,0,2,1
