name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
Zytro,783828985,2960602,4309200,20336767,18,16,0,10982851,7271926,5,0,true,true,238466,131935,false,false,0,0,0,3,4,,,3,
Aleks,449627572,2671035,3814671,23644522,12,31,0,12644397,6490222,5,1,true,true,199197,96582,true,false,0,0,0,2,4,4,4,3,
Good Swimma,133824362,2583880,3222266,13290607,10,4,0,6554875,5850875,1,1,true,true,0,81425,false,false,0,0,0,2,,,,,
WiseBeyond,141746547,2385017,3946712,18624345,7,23,0,9402834,4595634,5,1,true,false,0,30408,true,false,1736095,0,0,1,2,4,4,2,
MINI CT 42069,984252223,3593496,5235622,27846009,42,30,1,14675792,8925592,6,1,true,true,609182,473910,true,true,0,0,0,2,4,4,4,2,0
GetSchmidtOn,323388919,2549581,3338671,15907652,10,11,0,8650476,5893276,4,1,true,true,0,61123,false,false,0,0,0,1,2,2,,2,
MINI yosifkit,599257459,3073955,4182074,22661209,22,28,0,11941453,5787278,5,1,true,false,419775,228243,true,false,1468751,0,0,2,4,4,4,3,
JangoBear,996517736,3292162,4807276,23205019,32,20,1,12677284,8102184,6,1,true,true,0,63814,true,true,0,0,0,2,2,4,0,4,0
Ralnakor,528132337,2784137,3919658,21001872,29,22,0,11463061,6707361,5,0,true,true,0,0,true,false,0,0,0,1,3,3,4,2,
FrankWhite,825628193,2877695,3976574,19526816,23,16,0,11477949,6862099,4,1,true,true,0,31596,false,false,0,0,0,1,3,4,,4,
Tmacc85,521812115,2374480,3575615,24717009,38,35,1,13840424,6004574,6,0,true,true,553793,295774,true,true,0,0,0,3,4,4,4,4,1
chello26tt,847851959,2801942,3716359,15784250,2,7,0,7901641,6552441,4,1,true,true,0,0,false,false,0,0,0,1,,,,2,
Paasan313,595451192,2451510,3082822,16555734,54,15,0,7828430,5536230,3,1,true,true,410091,228799,false,false,0,0,0,4,,,,2,
ryzingTitan,844171967,3029524,4194134,17404166,12,9,0,8363798,7225798,5,1,true,true,91696,25662,false,false,0,0,0,1,2,,,,
El paso,658545697,3066660,4206362,19390421,3,13,0,10438499,7278299,5,1,true,true,100467,28642,false,false,0,0,0,1,1,4,,2,
CaptainK,947951149,2806579,3682838,14084062,11,10,0,4502279,4502279,0,1,true,false,0,0,false,false,1987138,0,0,,,,,,
Tr1stram,548455812,2878758,4221515,27904652,32,38,1,15313811,7115711,6,1,true,true,0,11409,true,true,0,0,0,4,4,4,4,4,1
Ladrano,594819111,1895042,2650781,18952036,4,28,1,9930212,4557462,5,1,true,true,0,15946,false,true,0,0,0,2,3,4,4,,1
MasterJ,912225591,2779367,3933911,24242587,39,31,1,13193909,6728984,6,1,true,true,498109,198345,true,true,0,0,0,3,4,4,4,3,0
BigRed,954383636,2927582,3854546,24298341,31,31,1,13633413,6806238,6,1,true,true,452203,309315,true,true,0,0,0,4,4,4,4,3,0
Lapskaus,283611597,2548865,3762518,18239553,4,25,0,10445303,6314303,3,1,true,true,0,64340,false,false,0,0,0,4,4,4,,,
Robbo,141299866,2101859,3030194,20257210,0,29,1,10601176,5151001,6,1,true,true,0,0,true,true,0,0,0,4,4,4,0,3,0
