name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Zytro,783828985,2960602,4309200,26859008,18,21,0,6522241,4310241,3,1,true,false,0,0,false,false,2959561,0,0,2,,,3,
Aleks,449627572,2671035,3814671,37218209,19,45,0,13573687,6499687,5,0,true,true,259737,93158,true,true,0,0,0,3,3,4,3,1
Good Swimma,133824362,2583880,3222266,18865843,28,6,0,5575236,4799736,2,1,true,false,325289,145205,false,false,1006410,0,0,2,,,,
WiseBeyond,141746547,2385017,3946712,25002564,7,30,0,6378219,3022969,4,1,true,false,0,0,false,false,3308760,0,0,1,2,,4,
MINI CT 42069,984252223,3593496,5235622,45574784,49,47,1,17728775,8930525,5,1,true,true,0,212612,true,true,0,0,0,4,4,4,4,1
GetSchmidtOn,323388919,2549581,3338671,24067261,12,13,0,8159609,5895609,3,1,true,true,0,56750,false,true,0,0,0,1,,,,1
MINI yosifkit,599257459,3073955,4182074,40205073,26,45,0,16065266,7267016,5,0,true,true,206763,32058,true,true,0,0,0,4,4,4,4,1
JangoBear,996517736,3292162,4807276,36408498,32,32,1,13203479,8102229,4,2,true,true,0,0,true,false,0,0,0,2,3,3,4,
Ralnakor,528132337,2784137,3919658,29338693,32,26,0,8336821,6709321,2,1,true,true,0,75514,false,false,0,0,0,4,,,,
FrankWhite,825628193,2877695,3976574,29619912,24,23,0,10093096,6872346,3,1,true,true,0,10726,false,false,0,0,0,3,,,4,
Tmacc85,521812115,2374480,3575615,39006856,42,51,1,14289847,6014097,5,1,true,true,83295,74402,true,true,0,0,0,3,4,4,4,1
chello26tt,847851959,2801942,3716359,25664922,7,12,0,9880672,6529672,3,1,true,true,0,152855,false,true,0,0,0,2,2,,,1
Paasan313,595451192,2451510,3082822,25843243,61,23,0,9287509,5544259,3,1,true,true,63372,115024,false,false,0,0,0,4,,,4,
ryzingTitan,844171967,3029524,4194134,27674097,13,13,0,10269931,7230431,5,1,true,true,45142,0,true,true,0,0,0,1,2,0,0,1
El paso,658545697,3066660,4206362,22461349,3,13,0,3070928,3070928,0,0,true,false,0,0,false,false,4202094,0,0,,,,,
CaptainK,947951149,2806579,3682838,22648338,11,15,0,8564276,6531276,4,0,true,true,0,0,false,false,0,0,0,1,1,3,,
Tr1stram,548455812,2878758,4221515,43137571,62,54,1,15232919,7113919,5,1,true,true,558376,302944,true,true,0,0,0,4,4,4,3,1
Ladrano,594819111,1895042,2650781,29983332,26,39,1,11031296,4560046,5,0,true,true,341365,255035,true,true,0,0,0,1,1,4,4,1
MasterJ,912225591,2779367,3933911,37622108,66,43,1,13379521,6731271,4,1,true,true,518273,271050,false,true,0,0,0,3,4,,4,1
BigRed,954383636,2927582,3854546,39225624,44,47,1,14927283,6808283,5,1,true,true,511260,108508,true,true,0,0,0,4,4,4,3,1
