name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Fl 1
Zytro,783828985,2960602,4309200,36631151,18,27,0,9772143,7277643,2,1,true,true,0,0,false,false,0,0,0,4,2,,
Aleks,449627572,2671035,3814671,46801500,27,52,0,9583291,6503291,2,1,true,true,319093,106128,false,false,0,0,0,,3,4,
Good Swimma,133824362,2583880,3222266,27477328,29,7,0,8611485,5861485,2,0,true,true,45142,64865,false,true,0,0,0,,,,1
WiseBeyond,141746547,2385017,3946712,34284291,7,37,0,9281727,6339227,3,1,true,true,0,0,false,false,0,0,0,3,4,,
MINI CT 42069,984252223,3593496,5235622,61588089,73,58,1,16013305,8931305,4,1,true,true,671696,393434,true,true,0,0,0,4,2,4,1
GetSchmidtOn,323388919,2549581,3338671,31605877,12,17,2,7538616,5896116,3,1,true,true,0,56750,false,false,0,0,0,2,2,,
MINI yosifkit,599257459,3073955,4182074,52778889,41,57,0,12573816,7271316,3,2,true,true,444557,112881,true,false,0,0,0,4,4,4,
JangoBear,996517736,3292162,4807276,51445727,40,43,1,15037229,8102229,4,0,true,true,251690,117953,true,true,0,0,0,3,3,4,1
Ralnakor,528132337,2784137,3919658,37886909,32,30,0,8548216,6710716,1,0,true,true,0,75514,false,false,0,0,0,,4,,
FrankWhite,825628193,2877695,3976574,39362258,25,30,0,9742346,6872346,2,0,true,true,0,42389,false,false,0,0,0,4,3,,
Tmacc85,521812115,2374480,3575615,53077523,63,64,1,14070667,6018167,4,0,true,true,529594,228895,true,true,0,0,0,4,4,4,1
chello26tt,847851959,2801942,3716359,32660498,11,13,0,6995576,6531576,2,0,true,true,70573,94964,false,false,0,0,0,1,,,
Paasan313,595451192,2451510,3082822,34092002,66,29,0,8248759,5544259,2,2,true,true,108514,74077,false,false,0,0,0,,2,4,
ryzingTitan,844171967,3029524,4194134,37253528,14,18,0,9579431,7230431,2,1,true,true,45142,0,false,false,0,0,0,,1,4,
El paso,658545697,3066660,4206362,30257625,8,14,0,7796276,7284776,2,2,true,true,0,153055,false,false,0,0,0,,1,,
CaptainK,947951149,2806579,3682838,33264087,11,19,0,10615749,6534749,4,1,true,true,0,0,true,true,0,0,0,1,2,0,1
Tr1stram,548455812,2878758,4221515,58313284,64,67,1,15175713,7123213,4,0,true,true,131191,154681,true,true,0,0,0,4,4,4,1
Ladrano,594819111,1895042,2650781,41105877,26,49,2,11122545,4563045,4,2,true,true,0,96857,true,true,0,0,0,3,2,4,1
MasterJ,912225591,2779367,3933911,48331787,66,52,1,10709679,6733179,4,1,true,true,0,109507,true,true,0,0,0,4,1,4,0
BigRed,954383636,2927582,3854546,53503205,64,59,1,14277581,6820081,4,0,true,true,545824,277371,true,true,0,0,0,4,3,4,1
Lapskaus,283611597,2548865,3762518,38705573,11,40,0,9026760,6322260,2,2,true,true,0,91572,false,false,0,0,0,,2,4,
Robbo,141299866,2101859,3030194,36493825,3,46,1,5445299,2575299,3,0,true,false,86588,29044,false,false,2556754,0,0,4,3,,
MINI Nicolas Marcheciel,925496831,2520547,3372434,48618225,2,54,2,13087609,6005609,4,1,true,true,0,0,true,true,0,0,0,4,2,4,1
Mhan'und Kota,425544887,2560403,3617546,38080015,10,32,0,7831003,6203503,2,1,true,true,45142,27144,false,false,0,0,0,4,,,
DirectorRik,485698314,2003965,2648188,22231341,4,11,0,4676173,4676173,0,1,true,true,0,17748,false,false,0,0,0,,,,
