Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Ground 434000_704000_1014750_1377000 [3],P2 Ground 434000_704000_1014750_1377000 [4],P2 Ground 564200_915200_1319175_1790100 [1],P2 Fleet 900000 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Ground 464000_775500_1105000_1627500 [2],P3 Ground 464000_775500_1105000_1627500 [3],P3 Ground 603200_1008150_1436500_2115750 [1],P3 Fleet 1800000 [1],P4 Ground 464000_775500_1105000_1627500 [1],P4 Ground 511500_867000_1242500_1837500 [1],P4 Ground 511500_867000_1242500_1837500 [2],P4 Fleet 2750000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Zytro,783828985,36631151,9353916,10982851,6522241,9772143,4,5,3,2,27,6,10,5,6, ?, ?, ?, ?, ?,3,4,0,0,3,0,2,0,0,3,0,4,2,0,0,18,9,9,0,0,0,0,0,0,0
Aleks,449627572,46801500,11000125,12644397,13573687,9583291,5,5,5,2,52,14,17,14,7,2,4,4,3,1,2,4,4,4,3,0,3,3,4,3,1,0,3,4,0,27,4,8,7,8,0,0,0,0,0
Good Swimma,133824362,27477328,6735732,6554875,5575236,8611485,3,1,2,2,7,2,2,2,1, ?, ?, ?, ?, ?,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,29,7,3,18,1,0,0,0,0,0
WiseBeyond,141746547,34284291,9221511,9402834,6378219,9281727,4,5,4,3,37,10,13,7,7,2,4,4,0,0,1,2,4,4,2,0,1,2,0,4,0,3,4,0,0,7,6,1,0,0,0,0,0,0,0
MINI CT 42069,984252223,61588089,13170217,14675792,17728775,16013305,5,6,5,4,58,14,16,17,11,3,3,4,4,0,2,4,4,4,2,0,4,4,4,4,1,4,2,4,1,73,12,30,7,24,1,0,1,0,0
GetSchmidtOn,323388919,31605877,7257176,8650476,8159609,7538616,2,4,3,3,17,4,7,2,4, ?, ?, ?, ?, ?,1,2,2,0,2,0,1,0,0,0,1,2,2,0,0,12,8,2,2,0,2,0,0,0,2
MINI yosifkit,599257459,52778889,10719756,11941453,16065266,12573816,5,5,5,3,57,11,17,17,12,1,4,4,2,0,2,4,4,4,3,0,4,4,4,4,1,4,4,4,0,41,4,18,4,15,0,0,0,0,0
JangoBear,996517736,51445727,10527735,12677284,13203479,15037229,4,6,4,4,43,8,12,12,11,3,3,0,2,0,2,2,4,0,4,0,2,3,3,4,0,3,3,4,1,40,30,2,0,8,1,0,1,0,0
Ralnakor,528132337,37886909,6498343,11463061,8336821,8548216,4,5,2,1,30,9,13,4,4, ?, ?, ?, ?, ?,1,3,3,4,2,0,4,0,0,0,0,0,4,0,0,32,29,0,3,0,0,0,0,0,0
FrankWhite,825628193,39362258,8048867,11477949,10093096,9742346,3,4,3,2,30,4,12,7,7,4,0,0,0,0,1,3,4,0,4,0,3,0,0,4,0,4,3,0,0,25,22,1,1,1,0,0,0,0,0
